date,mandi_id,commodity,price,arrivals,arrivals_log,is_missing,is_unstable,is_valid_training,split
2023-01-02,anekal_apmc,ginger,6709.9,61.37,4.1330843905380314,0,0,1,train
2023-01-03,anekal_apmc,ginger,6964.81,57.59,4.070564033556697,0,0,1,train
2023-01-04,anekal_apmc,ginger,6457.95,61.61,4.136925009757219,0,0,1,train
2023-01-05,anekal_apmc,ginger,6835.13,65.18,4.192378302493466,0,0,1,train
2023-01-06,anekal_apmc,ginger,7112.6,64.35,4.179757440070231,0,0,1,train
2023-01-07,anekal_apmc,ginger,6859.71,59.47,4.1021473742851216,0,0,1,train
2023-01-08,anekal_apmc,ginger,7255.75,59.83,4.108083088332614,0,0,1,train
2023-01-09,anekal_apmc,ginger,6265.85,64.24,4.178072777752813,0,0,1,train
2023-01-10,anekal_apmc,ginger,6871.8,59.91,4.109397364848393,0,0,1,train
2023-01-11,anekal_apmc,ginger,6827.44,62.3,4.147885329150131,0,0,1,train
2023-01-12,anekal_apmc,ginger,7070.48,63.15,4.161224091061645,0,0,1,train
2023-01-13,anekal_apmc,ginger,6702.13,63.03,4.159351723530711,0,0,1,train
2023-01-14,anekal_apmc,ginger,6683.11,66.95,4.218772140597153,0,0,1,train
2023-01-15,anekal_apmc,ginger,7440.97,63.14,4.161068194265009,0,0,1,train
2023-01-16,anekal_apmc,ginger,7000.16,66.49,4.211979438755315,0,0,1,train
2023-01-17,anekal_apmc,ginger,7166.7,65.68,4.199905057882593,0,0,1,train
2023-01-18,anekal_apmc,ginger,7220.16,68.13,4.235988789957173,0,0,1,train
2023-01-19,anekal_apmc,ginger,7058.7,68.57,4.24233343993555,0,0,1,train
2023-01-20,anekal_apmc,ginger,6327.93,66.51,4.21227573505378,0,0,1,train
2023-01-21,anekal_apmc,ginger,7322.44,60.75,4.123093975508087,0,0,1,train
2023-01-22,anekal_apmc,ginger,6591.02,70.67,4.272072250005828,0,0,1,train
2023-01-23,anekal_apmc,ginger,6329.4,64.67,4.184642200202881,0,0,1,train
2023-01-24,anekal_apmc,ginger,6947.39,65.44,4.196299284745094,0,0,1,train
2023-01-25,anekal_apmc,ginger,6864.9,65.58,4.198404232146879,0,0,1,train
2023-01-26,anekal_apmc,ginger,7314.29,62.74,4.15481230898919,0,0,1,train
2023-01-27,anekal_apmc,ginger,6934.34,54.69,4.019800597601577,0,0,1,train
2023-01-28,anekal_apmc,ginger,7044.4,60.92,4.125843229281472,0,0,1,train
2023-01-29,anekal_apmc,ginger,6746.93,75.74,4.340423084818807,0,0,1,train
2023-01-30,anekal_apmc,ginger,6419.95,66.05,4.205438609727688,0,0,1,train
2023-01-31,anekal_apmc,ginger,6875.45,68.03,4.234541192715384,0,0,1,train
2023-02-01,anekal_apmc,ginger,7268.85,64.18,4.177152673409416,0,0,1,train
2023-02-02,anekal_apmc,ginger,7488.17,63.64,4.16883341421284,0,0,1,train
2023-02-03,anekal_apmc,ginger,8457.22,59.95,4.110053855927281,0,0,1,train
2023-02-04,anekal_apmc,ginger,7790.13,48.53,3.902578546600146,0,0,1,train
2023-02-05,anekal_apmc,ginger,7758.89,57.01,4.060615409477973,0,0,1,train
2023-02-06,anekal_apmc,ginger,7856.24,60.0,4.110873864173311,0,0,1,train
2023-02-07,anekal_apmc,ginger,7034.7,60.04,4.111529386976201,0,0,1,train
2023-02-08,anekal_apmc,ginger,7380.86,52.82,3.9856451452987596,0,0,1,train
2023-02-09,anekal_apmc,ginger,7733.51,57.14,4.06285389513073,0,0,1,train
2023-02-10,anekal_apmc,ginger,7946.84,61.84,4.14059181338742,0,0,1,train
2023-02-11,anekal_apmc,ginger,7630.88,51.36,3.9581429410416993,0,0,1,train
2023-02-12,anekal_apmc,ginger,7046.13,56.11,4.044979232676772,0,0,1,train
2023-02-13,anekal_apmc,ginger,7860.77,61.69,4.138201945285877,0,0,1,train
2023-02-14,anekal_apmc,ginger,6902.73,56.29,4.048126088420487,0,0,1,train
2023-02-15,anekal_apmc,ginger,7713.49,66.44,4.2112383136936,0,0,1,train
2023-02-16,anekal_apmc,ginger,7744.97,61.38,4.133244711179657,0,0,1,train
2023-02-17,anekal_apmc,ginger,7577.39,67.38,4.2250803842111555,0,0,1,train
2023-02-18,anekal_apmc,ginger,7556.47,54.29,4.012592060349841,0,0,1,train
2023-02-19,anekal_apmc,ginger,7460.27,60.12,4.112839144858265,0,0,1,train
2023-02-20,anekal_apmc,ginger,7438.88,52.9,3.9871304779149512,0,0,1,train
2023-02-21,anekal_apmc,ginger,7158.06,63.12,4.160756327741352,0,0,1,train
2023-02-22,anekal_apmc,ginger,7722.85,64.01,4.174541104216377,0,0,1,train
2023-02-23,anekal_apmc,ginger,7760.69,49.13,3.914619631275412,0,0,1,train
2023-02-24,anekal_apmc,ginger,8046.85,66.28,4.208863015664693,0,0,1,train
2023-02-25,anekal_apmc,ginger,7707.89,52.57,3.980989209892869,0,0,1,train
2023-02-26,anekal_apmc,ginger,7350.35,58.51,4.086144365656761,0,0,1,train
2023-02-27,anekal_apmc,ginger,7678.31,59.26,4.098668533702155,0,0,1,train
2023-02-28,anekal_apmc,ginger,7823.29,57.42,4.067658296959595,0,0,1,train
2023-03-01,anekal_apmc,ginger,7598.45,62.21,4.146462516484207,0,0,1,train
2023-03-02,anekal_apmc,ginger,8290.61,63.81,4.171459912439625,0,0,1,train
2023-03-03,anekal_apmc,ginger,8178.61,56.1,4.044804116661965,0,0,1,train
2023-03-04,anekal_apmc,ginger,7901.49,56.69,4.055083848268798,0,0,1,train
2023-03-05,anekal_apmc,ginger,,,0.0,1,0,0,train
2023-03-06,anekal_apmc,ginger,7345.06,53.46,3.9974664872456134,0,0,1,train
2023-03-07,anekal_apmc,ginger,7840.48,50.21,3.935934825474459,0,0,1,train
2023-03-08,anekal_apmc,ginger,7500.53,66.79,4.216414691442874,0,0,1,train
2023-03-09,anekal_apmc,ginger,,,0.0,1,0,0,train
2023-03-10,anekal_apmc,ginger,8015.55,60.11,4.1126755189068245,0,0,1,train
2023-03-11,anekal_apmc,ginger,7405.75,58.25,4.081765780015241,0,0,1,train
2023-03-12,anekal_apmc,ginger,8113.73,58.05,4.078384542643371,0,0,1,train
2023-03-13,anekal_apmc,ginger,8299.76,57.12,4.062509838702082,0,0,1,train
2023-03-14,anekal_apmc,ginger,7405.36,69.68,4.2581626474514955,0,0,1,train
2023-03-15,anekal_apmc,ginger,7795.69,44.05,3.807772984054347,0,0,1,train
2023-03-16,anekal_apmc,ginger,7786.41,62.05,4.143928062410929,0,0,1,train
2023-03-17,anekal_apmc,ginger,7635.89,55.15,4.0280266811844525,0,0,1,train
2023-03-18,anekal_apmc,ginger,7703.82,61.42,4.133885736842633,0,0,1,train
2023-03-19,anekal_apmc,ginger,7307.78,70.32,4.267176792994939,0,0,1,train
2023-03-20,anekal_apmc,ginger,,,0.0,1,0,0,train
2023-03-21,anekal_apmc,ginger,7637.47,65.97,4.204244757921959,0,0,1,train
2023-03-22,anekal_apmc,ginger,8680.94,54.01,4.007514986887367,0,0,1,train
2023-03-23,anekal_apmc,ginger,7498.74,61.58,4.136445738240736,0,0,1,train
2023-03-24,anekal_apmc,ginger,7971.81,56.58,4.05317528518403,0,0,1,train
2023-03-25,anekal_apmc,ginger,,,0.0,1,0,0,train
2023-03-26,anekal_apmc,ginger,7624.37,59.88,4.1089047135534305,0,0,1,train
2023-03-27,anekal_apmc,ginger,7541.6,56.16,4.045854353061666,0,0,1,train
2023-03-28,anekal_apmc,ginger,8019.32,57.55,4.069881090043726,0,0,1,train
2023-03-29,anekal_apmc,ginger,8015.7,49.7,3.9259259105971376,0,0,1,train
2023-03-30,anekal_apmc,ginger,7826.25,54.38,4.014218517742816,0,0,1,train
2023-03-31,anekal_apmc,ginger,7453.86,70.14,4.264649766520309,0,0,1,train
2023-04-01,anekal_apmc,ginger,7898.84,60.88,4.125197025704866,0,0,1,train
2023-04-02,anekal_apmc,ginger,7213.19,64.48,4.181744752502934,0,0,1,train
2023-04-03,anekal_apmc,ginger,7533.2,58.19,4.080752608702634,0,0,1,train
2023-04-04,anekal_apmc,ginger,7716.56,55.01,4.025530246221741,0,0,1,train
2023-04-05,anekal_apmc,ginger,7576.87,59.76,4.106931677727572,0,0,1,train
2023-04-06,anekal_apmc,ginger,7583.82,61.75,4.139158578011894,0,0,1,train
2023-04-07,anekal_apmc,ginger,7078.32,57.85,4.074991833706286,0,0,1,train
2023-04-08,anekal_apmc,ginger,7200.95,73.24,4.307303088477945,0,0,1,train
2023-04-09,anekal_apmc,ginger,7427.73,69.82,4.2601414466837575,0,0,1,train
2023-04-10,anekal_apmc,ginger,7941.61,66.66,4.214495163352562,0,0,1,train
2023-04-11,anekal_apmc,ginger,8079.28,60.53,4.119524860752399,0,0,1,train
2023-04-12,anekal_apmc,ginger,8008.22,59.74,4.106602459617603,0,0,1,train
2023-04-13,anekal_apmc,ginger,7491.23,58.66,4.088661779086602,0,0,1,train
2023-04-14,anekal_apmc,ginger,7135.81,61.08,4.128423875874963,0,0,1,train
2023-04-15,anekal_apmc,ginger,7231.04,54.46,4.015662040187632,0,0,1,train
2023-04-16,anekal_apmc,ginger,7935.07,57.8,4.074141854904581,0,0,1,train
2023-04-17,anekal_apmc,ginger,7877.05,57.96,4.076859247881081,0,0,1,train
2023-04-18,anekal_apmc,ginger,7338.51,54.94,4.024279687773814,0,0,1,train
2023-04-19,anekal_apmc,ginger,7595.46,64.16,4.176845783733844,0,0,1,train
2023-04-20,anekal_apmc,ginger,7203.84,60.19,4.113983777474449,0,0,1,train
