date,mandi_id,commodity,price,arrivals,arrivals_log,is_missing,is_unstable,is_valid_training,split
2023-01-02,anekal_apmc,onion,2370.52,67.35,4.224641563169959,0,0,1,train
2023-01-03,anekal_apmc,onion,2306.57,67.98,4.233816607508695,0,0,1,train
2023-01-04,anekal_apmc,onion,2192.72,66.32,4.209457369322605,0,0,1,train
2023-01-05,anekal_apmc,onion,2212.61,56.37,4.04952151861378,0,0,1,train
2023-01-06,anekal_apmc,onion,2114.06,67.53,4.227271605597732,0,0,1,train
2023-01-07,anekal_apmc,onion,2311.68,68.75,4.244917420701475,0,0,1,train
2023-01-08,anekal_apmc,onion,2311.36,55.8,4.039536325727106,0,0,1,train
2023-01-09,anekal_apmc,onion,2338.64,62.48,4.150724895658208,0,0,1,train
2023-01-10,anekal_apmc,onion,2232.14,65.13,4.191622501686571,0,0,1,train
2023-01-11,anekal_apmc,onion,2376.97,63.57,4.167749906638376,0,0,1,train
2023-01-12,anekal_apmc,onion,2277.02,59.84,4.1082474673910925,0,0,1,train
2023-01-13,anekal_apmc,onion,2232.18,59.65,4.105119635390059,0,0,1,train
2023-01-14,anekal_apmc,onion,2537.47,60.27,4.115290326737563,0,0,1,train
2023-01-15,anekal_apmc,onion,2344.43,62.83,4.156223299267966,0,0,1,train
2023-01-16,anekal_apmc,onion,2266.66,67.21,4.222591181666628,0,0,1,train
2023-01-17,anekal_apmc,onion,2449.86,61.04,4.127779338308338,0,0,1,train
2023-01-18,anekal_apmc,onion,2302.99,63.0,4.1588830833596715,0,0,1,train
2023-01-19,anekal_apmc,onion,2309.18,68.09,4.2354100025007035,0,0,1,train
2023-01-20,anekal_apmc,onion,2322.77,58.13,4.079738409832738,0,0,1,train
2023-01-21,anekal_apmc,onion,2214.37,52.89,3.9869449319454056,0,0,1,train
2023-01-22,anekal_apmc,onion,2157.82,66.92,4.218330542003092,0,0,1,train
2023-01-23,anekal_apmc,onion,2342.59,59.52,4.102973888920155,0,0,1,train
2023-01-24,anekal_apmc,onion,2052.51,75.17,4.3329676843846965,0,0,1,train
2023-01-25,anekal_apmc,onion,2112.87,69.18,4.2510633701550695,0,0,1,train
2023-01-26,anekal_apmc,onion,2348.08,56.65,4.054390246715068,0,0,1,train
2023-01-27,anekal_apmc,onion,2420.47,64.91,4.188290175064629,0,0,1,train
2023-01-28,anekal_apmc,onion,2265.67,76.86,4.35491234218231,0,0,1,train
2023-01-29,anekal_apmc,onion,2335.89,62.11,4.144879235596148,0,0,1,train
2023-01-30,anekal_apmc,onion,2211.14,73.79,4.314684186203576,0,0,1,train
2023-01-31,anekal_apmc,onion,2350.08,54.07,4.00860510327439,0,0,1,train
2023-02-01,anekal_apmc,onion,2565.69,49.59,3.923753928303845,0,0,1,train
2023-02-02,anekal_apmc,onion,2335.12,63.91,4.173001695045377,0,0,1,train
2023-02-03,anekal_apmc,onion,2394.57,67.44,4.225957449023992,0,0,1,train
2023-02-04,anekal_apmc,onion,2498.26,65.36,4.195094465322244,0,0,1,train
2023-02-05,anekal_apmc,onion,2645.73,65.75,4.200954297280359,0,0,1,train
2023-02-06,anekal_apmc,onion,2499.47,59.26,4.098668533702155,0,0,1,train
2023-02-07,anekal_apmc,onion,2558.69,60.8,4.123903364463645,0,0,1,train
2023-02-08,anekal_apmc,onion,2649.24,57.01,4.060615409477973,0,0,1,train
2023-02-09,anekal_apmc,onion,2609.13,54.27,4.012230265845171,0,0,1,train
2023-02-10,anekal_apmc,onion,2591.37,56.06,4.044103345785354,0,0,1,train
2023-02-11,anekal_apmc,onion,2550.77,46.52,3.8611506750543896,0,0,1,train
2023-02-12,anekal_apmc,onion,2552.54,59.51,4.10280864063423,0,0,1,train
2023-02-13,anekal_apmc,onion,2615.29,62.64,4.153242203469586,0,0,1,train
2023-02-14,anekal_apmc,onion,2584.9,63.0,4.1588830833596715,0,0,1,train
2023-02-15,anekal_apmc,onion,2465.85,60.13,4.113002744040634,0,0,1,train
2023-02-16,anekal_apmc,onion,2439.95,53.32,3.9948924832504407,0,0,1,train
2023-02-17,anekal_apmc,onion,2442.84,56.28,4.04795152265239,0,0,1,train
2023-02-18,anekal_apmc,onion,2619.32,61.83,4.140432666414855,0,0,1,train
2023-02-19,anekal_apmc,onion,,,0.0,1,0,0,train
2023-02-20,anekal_apmc,onion,2523.51,64.13,4.17638527255831,0,0,1,train
2023-02-21,anekal_apmc,onion,2482.66,65.52,4.197502654324727,0,0,1,train
2023-02-22,anekal_apmc,onion,2503.77,61.82,4.140273494110501,0,0,1,train
2023-02-23,anekal_apmc,onion,2604.85,63.1,4.160444363926624,0,0,1,train
2023-02-24,anekal_apmc,onion,,,0.0,1,0,0,train
2023-02-25,anekal_apmc,onion,,,0.0,1,0,0,train
2023-02-26,anekal_apmc,onion,2471.93,64.25,4.178226046202803,0,0,1,train
2023-02-27,anekal_apmc,onion,2424.28,59.37,4.100492292808335,0,0,1,train
2023-02-28,anekal_apmc,onion,2405.41,59.06,4.095344062555184,0,0,1,train
2023-03-01,anekal_apmc,onion,2544.43,62.22,4.146620706787472,0,0,1,train
2023-03-02,anekal_apmc,onion,2466.47,63.43,4.1655793631505516,0,0,1,train
2023-03-03,anekal_apmc,onion,2561.88,56.88,4.058371901763283,0,0,1,train
2023-03-04,anekal_apmc,onion,2485.81,58.38,4.083957469335614,0,0,1,train
2023-03-05,anekal_apmc,onion,2387.97,55.0,4.02535169073515,0,0,1,train
2023-03-06,anekal_apmc,onion,2702.57,59.18,4.0973400712018995,0,0,1,train
2023-03-07,anekal_apmc,onion,2522.33,70.7,4.272490747605575,0,0,1,train
2023-03-08,anekal_apmc,onion,2599.56,64.55,4.182813210209709,0,0,1,train
2023-03-09,anekal_apmc,onion,2732.07,55.38,4.032114485685967,0,0,1,train
2023-03-10,anekal_apmc,onion,2580.25,64.72,4.185403293169068,0,0,1,train
2023-03-11,anekal_apmc,onion,2546.34,55.03,4.025887261577193,0,0,1,train
2023-03-12,anekal_apmc,onion,2502.01,62.89,4.157162854614252,0,0,1,train
2023-03-13,anekal_apmc,onion,2590.28,59.66,4.105284502260435,0,0,1,train
2023-03-14,anekal_apmc,onion,2591.47,57.14,4.06285389513073,0,0,1,train
2023-03-15,anekal_apmc,onion,2570.3,62.21,4.146462516484207,0,0,1,train
2023-03-16,anekal_apmc,onion,2578.14,59.32,4.099663723699701,0,0,1,train
2023-03-17,anekal_apmc,onion,2708.18,57.54,4.06971028126374,0,0,1,train
2023-03-18,anekal_apmc,onion,2575.87,58.57,4.087152091640596,0,0,1,train
2023-03-19,anekal_apmc,onion,2609.37,59.16,4.097007679641584,0,0,1,train
2023-03-20,anekal_apmc,onion,2572.42,55.13,4.027670428954108,0,0,1,train
2023-03-21,anekal_apmc,onion,2689.71,53.41,3.996547960497834,0,0,1,train
2023-03-22,anekal_apmc,onion,2554.48,63.61,4.168369197570074,0,0,1,train
2023-03-23,anekal_apmc,onion,2650.42,56.6,4.053522567701846,0,0,1,train
2023-03-24,anekal_apmc,onion,2546.02,63.35,4.164336934042136,0,0,1,train
2023-03-25,anekal_apmc,onion,2629.82,55.12,4.02749225523426,0,0,1,train
2023-03-26,anekal_apmc,onion,2501.8,54.12,4.009512626705403,0,0,1,train
2023-03-27,anekal_apmc,onion,2631.88,55.67,4.037244970181528,0,0,1,train
2023-03-28,anekal_apmc,onion,2514.91,61.18,4.130033404630607,0,0,1,train
2023-03-29,anekal_apmc,onion,2554.41,53.97,4.006787581872569,0,0,1,train
2023-03-30,anekal_apmc,onion,2507.31,53.54,3.9989343774174424,0,0,1,train
2023-03-31,anekal_apmc,onion,2906.76,47.41,3.879706403951603,0,0,1,train
2023-04-01,anekal_apmc,onion,2634.42,69.12,4.250208060053033,0,0,1,train
2023-04-02,anekal_apmc,onion,2610.54,68.34,4.239021940256878,0,0,1,train
2023-04-03,anekal_apmc,onion,2696.85,55.88,4.040943785494986,0,0,1,train
2023-04-04,anekal_apmc,onion,2561.82,56.61,4.053696163744291,0,0,1,train
2023-04-05,anekal_apmc,onion,2611.59,54.75,4.020877410340228,0,0,1,train
2023-04-06,anekal_apmc,onion,2476.84,60.43,4.117898315175836,0,0,1,train
2023-04-07,anekal_apmc,onion,2414.15,60.84,4.124550404279167,0,0,1,train
2023-04-08,anekal_apmc,onion,2541.51,56.93,4.059235385108533,0,0,1,train
2023-04-09,anekal_apmc,onion,2459.32,61.28,4.131640346965797,0,0,1,train
2023-04-10,anekal_apmc,onion,2644.24,48.85,3.9090184964078474,0,0,1,train
