date,mandi_id,commodity,price,arrivals,arrivals_log,is_missing,is_unstable,is_valid_training,split
2023-01-02,anekal_apmc,potato,2069.12,66.3,4.209160236650682,0,0,1,train
2023-01-03,anekal_apmc,potato,2262.83,60.39,4.117246955439405,0,0,1,train
2023-01-04,anekal_apmc,potato,2208.55,64.06,4.175309921045206,0,0,1,train
2023-01-05,anekal_apmc,potato,2007.92,54.55,4.017283516085639,0,0,1,train
2023-01-06,anekal_apmc,potato,2039.08,65.28,4.193888192558362,0,0,1,train
2023-01-07,anekal_apmc,potato,2086.8,67.94,4.233236561088719,0,0,1,train
2023-01-08,anekal_apmc,potato,2092.25,68.19,4.23685634351072,0,0,1,train
2023-01-09,anekal_apmc,potato,2151.88,58.87,4.092175544937261,0,0,1,train
2023-01-10,anekal_apmc,potato,2036.34,62.07,4.14424522067556,0,0,1,train
2023-01-11,anekal_apmc,potato,2164.18,66.83,4.217004574957988,0,0,1,train
2023-01-12,anekal_apmc,potato,2026.74,70.35,4.267597343922845,0,0,1,train
2023-01-13,anekal_apmc,potato,1947.58,68.76,4.245060779600724,0,0,1,train
2023-01-14,anekal_apmc,potato,2154.58,61.84,4.14059181338742,0,0,1,train
2023-01-15,anekal_apmc,potato,1969.27,67.36,4.224787858247391,0,0,1,train
2023-01-16,anekal_apmc,potato,2065.7,70.01,4.262820712194002,0,0,1,train
2023-01-17,anekal_apmc,potato,2134.28,68.85,4.246350085702971,0,0,1,train
2023-01-18,anekal_apmc,potato,1989.13,59.75,4.1067670822206574,0,0,1,train
2023-01-19,anekal_apmc,potato,2203.28,55.67,4.037244970181528,0,0,1,train
2023-01-20,anekal_apmc,potato,2103.71,67.31,4.224056168743758,0,0,1,train
2023-01-21,anekal_apmc,potato,2170.63,57.4,4.067315889834181,0,0,1,train
2023-01-22,anekal_apmc,potato,2138.93,57.72,4.07278038430626,0,0,1,train
2023-01-23,anekal_apmc,potato,,,0.0,1,0,0,train
2023-01-24,anekal_apmc,potato,2175.17,63.71,4.169915749069175,0,0,1,train
2023-01-25,anekal_apmc,potato,2047.06,67.97,4.2336716274432,0,0,1,train
2023-01-26,anekal_apmc,potato,,,0.0,1,0,0,train
2023-01-27,anekal_apmc,potato,2227.61,62.72,4.154498485041848,0,0,1,train
2023-01-28,anekal_apmc,potato,2001.62,63.55,4.167440117292651,0,0,1,train
2023-01-29,anekal_apmc,potato,2067.01,64.46,4.181439269073034,0,0,1,train
2023-01-30,anekal_apmc,potato,,,0.0,1,0,0,train
2023-01-31,anekal_apmc,potato,2144.78,62.59,4.152456225279317,0,0,1,train
2023-02-01,anekal_apmc,potato,2266.83,58.16,4.080245637842599,0,0,1,train
2023-02-02,anekal_apmc,potato,2351.47,59.65,4.105119635390059,0,0,1,train
2023-02-03,anekal_apmc,potato,2314.62,61.98,4.142817215672879,0,0,1,train
2023-02-04,anekal_apmc,potato,2237.98,67.75,4.230476736546681,0,0,1,train
2023-02-05,anekal_apmc,potato,2295.36,60.43,4.117898315175836,0,0,1,train
2023-02-06,anekal_apmc,potato,2183.77,55.57,4.035478809355064,0,0,1,train
2023-02-07,anekal_apmc,potato,2157.4,63.22,4.162314688661368,0,0,1,train
2023-02-08,anekal_apmc,potato,2411.44,57.62,4.071075935282746,0,0,1,train
2023-02-09,anekal_apmc,potato,2249.87,60.59,4.120499519698952,0,0,1,train
2023-02-10,anekal_apmc,potato,2278.09,58.67,4.088829381533991,0,0,1,train
2023-02-11,anekal_apmc,potato,2375.14,58.56,4.086984207815808,0,0,1,train
2023-02-12,anekal_apmc,potato,2304.58,62.34,4.148517041110494,0,0,1,train
2023-02-13,anekal_apmc,potato,2391.66,67.23,4.222884350827332,0,0,1,train
2023-02-14,anekal_apmc,potato,2392.13,57.15,4.063025878964673,0,0,1,train
2023-02-15,anekal_apmc,potato,2111.64,64.75,4.185859671057874,0,0,1,train
2023-02-16,anekal_apmc,potato,2372.62,54.73,4.020518601581445,0,0,1,train
2023-02-17,anekal_apmc,potato,2363.27,57.44,4.068000586882499,0,0,1,train
2023-02-18,anekal_apmc,potato,2375.0,64.01,4.174541104216377,0,0,1,train
2023-02-19,anekal_apmc,potato,2263.2,57.41,4.067487108052218,0,0,1,train
2023-02-20,anekal_apmc,potato,2378.45,61.82,4.140273494110501,0,0,1,train
2023-02-21,anekal_apmc,potato,2141.04,63.39,4.164958341550092,0,0,1,train
2023-02-22,anekal_apmc,potato,,,0.0,1,0,0,train
2023-02-23,anekal_apmc,potato,,,0.0,1,0,0,train
2023-02-24,anekal_apmc,potato,2263.29,59.82,4.107918682249219,0,0,1,train
2023-02-25,anekal_apmc,potato,2132.43,70.39,4.268157803514369,0,0,1,train
2023-02-26,anekal_apmc,potato,2245.8,58.0,4.07753744390572,0,0,1,train
2023-02-27,anekal_apmc,potato,2184.61,61.28,4.131640346965797,0,0,1,train
2023-02-28,anekal_apmc,potato,2194.01,60.31,4.115942961774596,0,0,1,train
2023-03-01,anekal_apmc,potato,2398.07,55.35,4.031582240485785,0,0,1,train
2023-03-02,anekal_apmc,potato,2232.8,62.11,4.144879235596148,0,0,1,train
2023-03-03,anekal_apmc,potato,2286.24,58.11,4.079400114836278,0,0,1,train
2023-03-04,anekal_apmc,potato,2252.01,59.39,4.10082352831981,0,0,1,train
2023-03-05,anekal_apmc,potato,2214.58,62.08,4.1444037620948375,0,0,1,train
2023-03-06,anekal_apmc,potato,2482.29,53.4,3.996364153861897,0,0,1,train
2023-03-07,anekal_apmc,potato,2335.25,62.01,4.143293443953964,0,0,1,train
2023-03-08,anekal_apmc,potato,2388.82,60.02,4.1112016792885235,0,0,1,train
2023-03-09,anekal_apmc,potato,2275.8,68.33,4.238877712954399,0,0,1,train
2023-03-10,anekal_apmc,potato,2384.07,57.1,4.062165663857866,0,0,1,train
2023-03-11,anekal_apmc,potato,2323.06,54.16,4.010238052925101,0,0,1,train
2023-03-12,anekal_apmc,potato,2334.06,46.19,3.8541820057382963,0,0,1,train
2023-03-13,anekal_apmc,potato,2514.28,57.37,4.0668020592157,0,0,1,train
2023-03-14,anekal_apmc,potato,2347.45,61.47,4.134686441505479,0,0,1,train
2023-03-15,anekal_apmc,potato,2241.05,57.2,4.063885354737392,0,0,1,train
2023-03-16,anekal_apmc,potato,2438.58,49.54,3.922765101960048,0,0,1,train
2023-03-17,anekal_apmc,potato,,,0.0,1,0,0,train
2023-03-18,anekal_apmc,potato,2366.5,49.24,3.9168115221599433,0,0,1,train
2023-03-19,anekal_apmc,potato,2438.61,53.97,4.006787581872569,0,0,1,train
2023-03-20,anekal_apmc,potato,2320.3,53.69,4.001680877358681,0,0,1,train
2023-03-21,anekal_apmc,potato,2456.82,58.61,4.087823345231835,0,0,1,train
2023-03-22,anekal_apmc,potato,2435.7,51.2,3.955082494888593,0,0,1,train
2023-03-23,anekal_apmc,potato,2371.49,64.97,4.1892000932347795,0,0,1,train
2023-03-24,anekal_apmc,potato,2340.82,45.43,3.8379458020318302,0,0,1,train
2023-03-25,anekal_apmc,potato,2219.41,60.22,4.114473933517266,0,0,1,train
2023-03-26,anekal_apmc,potato,2369.64,58.49,4.085808231199814,0,0,1,train
2023-03-27,anekal_apmc,potato,2215.49,57.54,4.06971028126374,0,0,1,train
2023-03-28,anekal_apmc,potato,2397.6,59.94,4.109889773557563,0,0,1,train
2023-03-29,anekal_apmc,potato,2411.39,52.84,3.9860166853364722,0,0,1,train
2023-03-30,anekal_apmc,potato,2101.52,78.42,4.374750225703106,0,0,1,train
2023-03-31,anekal_apmc,potato,2533.09,55.75,4.038655656361512,0,0,1,train
2023-04-01,anekal_apmc,potato,2278.73,53.63,4.000583182407627,0,0,1,train
2023-04-02,anekal_apmc,potato,2245.8,64.29,4.178838885198542,0,0,1,train
2023-04-03,anekal_apmc,potato,2293.57,55.0,4.02535169073515,0,0,1,train
2023-04-04,anekal_apmc,potato,2237.25,66.56,4.2130160919396,0,0,1,train
2023-04-05,anekal_apmc,potato,2332.71,54.79,4.021594641857437,0,0,1,train
2023-04-06,anekal_apmc,potato,2286.39,68.09,4.2354100025007035,0,0,1,train
2023-04-07,anekal_apmc,potato,2309.77,70.55,4.27039650600246,0,0,1,train
2023-04-08,anekal_apmc,potato,2285.04,66.22,4.20797082229696,0,0,1,train
2023-04-09,anekal_apmc,potato,2277.61,60.87,4.125035409542898,0,0,1,train
2023-04-10,anekal_apmc,potato,2208.89,52.33,3.9764990246125107,0,0,1,train
2023-04-11,anekal_apmc,potato,2222.87,63.4,4.165113633110308,0,0,1,train
2023-04-12,anekal_apmc,potato,2061.09,64.54,4.182660643270669,0,0,1,train
2023-04-13,anekal_apmc,potato,2334.9,58.87,4.092175544937261,0,0,1,train
2023-04-14,anekal_apmc,potato,2224.43,66.14,4.206779991551889,0,0,1,train
2023-04-15,anekal_apmc,potato,2323.89,53.4,3.996364153861897,0,0,1,train
2023-04-16,anekal_apmc,potato,2196.64,53.7,4.001863709427935,0,0,1,train
2023-04-17,anekal_apmc,potato,2347.81,56.84,4.057680577850509,0,0,1,train
2023-04-18,anekal_apmc,potato,,,0.0,1,0,0,train
2023-04-19,anekal_apmc,potato,2108.95,59.37,4.100492292808335,0,0,1,train
2023-04-20,anekal_apmc,potato,2257.44,64.32,4.179298268102264,0,0,1,train
2023-04-21,anekal_apmc,potato,2329.64,54.19,4.01078177745141,0,0,1,train
2023-04-22,anekal_apmc,potato,2385.3,60.36,4.116758157059,0,0,1,train
2023-04-23,anekal_apmc,potato,2078.2,68.37,4.23945449739721,0,0,1,train
2023-04-24,anekal_apmc,potato,2163.34,65.7,4.200204952921578,0,0,1,train
2023-04-25,anekal_apmc,potato,2234.67,56.42,4.050392674692918,0,0,1,train
2023-04-26,anekal_apmc,potato,2312.11,63.92,4.17315574264639,0,0,1,train
2023-04-27,anekal_apmc,potato,2164.29,61.61,4.136925009757219,0,0,1,train
2023-04-28,anekal_apmc,potato,2244.97,61.74,4.138999202762532,0,0,1,train
2023-04-29,anekal_apmc,potato,2282.7,59.75,4.1067670822206574,0,0,1,train
2023-04-30,anekal_apmc,potato,2354.8,61.45,4.134366236571586,0,0,1,train
2023-05-01,anekal_apmc,potato,2048.04,73.58,4.311872374750675,0,0,1,train
2023-05-02,anekal_apmc,potato,2031.85,58.89,4.092509546276371,0,0,1,train
2023-05-03,anekal_apmc,potato,2075.92,53.21,3.992865393272247,0,0,1,train
2023-05-04,anekal_apmc,potato,2073.93,66.83,4.217004574957988,0,0,1,train
2023-05-05,anekal_apmc,potato,2084.93,68.14,4.236133434493478,0,0,1,train
2023-05-06,anekal_apmc,potato,2123.9,63.13,4.160912273160771,0,0,1,train
2023-05-07,anekal_apmc,potato,2205.46,56.41,4.050218504179545,0,0,1,train
2023-05-08,anekal_apmc,potato,2135.96,52.9,3.9871304779149512,0,0,1,train
2023-05-09,anekal_apmc,potato,2108.92,58.71,4.089499510558901,0,0,1,train
2023-05-10,anekal_apmc,potato,,,0.0,1,0,0,train
2023-05-11,anekal_apmc,potato,2173.24,55.59,4.035832291154432,0,0,1,train
2023-05-12,anekal_apmc,potato,2110.8,67.49,4.226687749209813,0,0,1,train
2023-05-13,anekal_apmc,potato,1949.12,64.09,4.175770927584296,0,0,1,train
2023-05-14,anekal_apmc,potato,2044.24,64.81,4.186771802468027,0,0,1,train
2023-05-15,anekal_apmc,potato,2149.85,60.61,4.120824195026479,0,0,1,train
2023-05-16,anekal_apmc,potato,2094.31,67.05,4.220242729097475,0,0,1,train
2023-05-17,anekal_apmc,potato,2049.66,58.36,4.083620598859125,0,0,1,train
2023-05-18,anekal_apmc,potato,2049.84,67.91,4.232801305369117,0,0,1,train
2023-05-19,anekal_apmc,potato,1990.2,62.49,4.150882413182359,0,0,1,train
2023-05-20,anekal_apmc,potato,2096.08,61.55,4.13596623691292,0,0,1,train
2023-05-21,anekal_apmc,potato,2052.51,65.88,4.202899968776446,0,0,1,train
2023-05-22,anekal_apmc,potato,2028.07,70.02,4.262961527514942,0,0,1,train
2023-05-23,anekal_apmc,potato,2144.26,65.83,4.2021520815229785,0,0,1,train
2023-05-24,anekal_apmc,potato,2120.91,66.19,4.207524426932059,0,0,1,train
2023-05-25,anekal_apmc,potato,2180.63,54.77,4.021236090401462,0,0,1,train
2023-05-26,anekal_apmc,potato,2024.26,67.17,4.222004585374694,0,0,1,train
2023-05-27,anekal_apmc,potato,1997.4,59.03,4.094844437263752,0,0,1,train
2023-05-28,anekal_apmc,potato,2129.74,61.72,4.138680376042152,0,0,1,train
2023-05-29,anekal_apmc,potato,2020.33,70.84,4.274441423993944,0,0,1,train
2023-05-30,anekal_apmc,potato,2001.93,67.88,4.232365860119475,0,0,1,train
2023-05-31,anekal_apmc,potato,2070.21,65.73,4.200654626915515,0,0,1,train
2023-06-01,anekal_apmc,potato,1600.32,80.07,4.395312978999615,0,0,1,train
2023-06-02,anekal_apmc,potato,1858.99,72.95,4.303389189156809,0,0,1,train
2023-06-03,anekal_apmc,potato,1571.23,78.0,4.3694478524670215,0,0,1,train
2023-06-04,anekal_apmc,potato,1719.12,71.66,4.2857910267930555,0,0,1,train
