date,mandi_id,commodity,price,arrivals,arrivals_log,is_missing,is_unstable,is_valid_training,split
2023-01-02,anekal_apmc,tomato,1713.58,61.85,4.140750935036256,0,0,1,train
2023-01-03,anekal_apmc,tomato,1824.66,58.01,4.077706921069077,0,0,1,train
2023-01-04,anekal_apmc,tomato,1659.06,60.37,4.116921116401006,0,0,1,train
2023-01-05,anekal_apmc,tomato,1788.07,59.19,4.0975062255596795,0,0,1,train
2023-01-06,anekal_apmc,tomato,1737.66,68.77,4.245204117951145,0,0,1,train
2023-01-07,anekal_apmc,tomato,1705.04,59.42,4.101320175958526,0,0,1,train
2023-01-08,anekal_apmc,tomato,1839.06,62.69,4.1540275643832745,0,0,1,train
2023-01-09,anekal_apmc,tomato,1674.28,63.26,4.162937353687712,0,0,1,train
2023-01-10,anekal_apmc,tomato,1646.58,64.53,4.182508053051405,0,0,1,train
2023-01-11,anekal_apmc,tomato,1783.03,58.4,4.084294226368599,0,0,1,train
2023-01-12,anekal_apmc,tomato,1701.79,72.95,4.303389189156809,0,0,1,train
2023-01-13,anekal_apmc,tomato,,,0.0,1,0,0,train
2023-01-14,anekal_apmc,tomato,1664.89,67.47,4.226395693132972,0,0,1,train
2023-01-15,anekal_apmc,tomato,1666.47,63.8,4.1713056033582285,0,0,1,train
2023-01-16,anekal_apmc,tomato,1737.38,65.21,4.192831508936755,0,0,1,train
2023-01-17,anekal_apmc,tomato,1842.29,62.01,4.143293443953964,0,0,1,train
2023-01-18,anekal_apmc,tomato,1746.39,63.61,4.168369197570074,0,0,1,train
2023-01-19,anekal_apmc,tomato,1843.63,59.76,4.106931677727572,0,0,1,train
2023-01-20,anekal_apmc,tomato,1659.06,69.31,4.25291403621107,0,0,1,train
2023-01-21,anekal_apmc,tomato,1688.92,68.53,4.2417583141109265,0,0,1,train
2023-01-22,anekal_apmc,tomato,1826.22,64.87,4.187683102652602,0,0,1,train
2023-01-23,anekal_apmc,tomato,1697.1,66.4,4.210645017918261,0,0,1,train
2023-01-24,anekal_apmc,tomato,1700.46,56.46,4.051089053551143,0,0,1,train
2023-01-25,anekal_apmc,tomato,1762.4,59.8,4.107589788972121,0,0,1,train
2023-01-26,anekal_apmc,tomato,1745.17,65.29,4.1940390562533,0,0,1,train
2023-01-27,anekal_apmc,tomato,1780.81,60.18,4.113820338722757,0,0,1,train
2023-01-28,anekal_apmc,tomato,1749.38,64.67,4.184642200202881,0,0,1,train
2023-01-29,anekal_apmc,tomato,1718.27,67.91,4.232801305369117,0,0,1,train
2023-01-30,anekal_apmc,tomato,1584.68,67.12,4.221270855794487,0,0,1,train
2023-01-31,anekal_apmc,tomato,1699.85,73.89,4.316020370261276,0,0,1,train
2023-02-01,anekal_apmc,tomato,1931.22,62.93,4.157788734778635,0,0,1,train
2023-02-02,anekal_apmc,tomato,1895.66,53.74,4.002594703612533,0,0,1,train
2023-02-03,anekal_apmc,tomato,1838.85,71.75,4.287028906051602,0,0,1,train
2023-02-04,anekal_apmc,tomato,1819.32,60.6,4.120661870539474,0,0,1,train
